Data,Hora,Origem,Payload,,
25/03/2025,21:30:47,S,+SACK:1b26$,,
25/03/2025,21:30:47,D,2b4253500700fe2fbf006380200309020915564a5806025d61032800000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a00073107240006c4a707a6b01500000000000000020800000000000000000007e903191507331b273fb20d0a,,
25/03/2025,21:30:47,S,+SACK:1b27$,,
25/03/2025,21:30:48,D,2b4253500700fe2fbf006380200309020915564a5806025d61032800000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a00073607240006c4a707a6b01500000000000000020800000000000000000007e903191507381b28a12f0d0a,,
25/03/2025,21:30:48,S,+SACK:1b28$,,
25/03/2025,21:30:48,D,2b4253500700fe2fbf006380200309020915564a5806025d61032900000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a00073b07240006c4a707a6b01500000000000000020800000000000000000007e903191508011b294c660d0a,,
25/03/2025,21:30:48,S,+SACK:1b29$,,
25/03/2025,21:30:49,D,2b4253500700fe2fbf006380200309020915564a5806025d61032900000100220c1001010000000000023bfcf2e861fe9c1d4e07e9031a00080407240006c4a707a6b01500000000000000020800000000000000000007e903191508061b2a7c7a0d0a,,
25/03/2025,21:30:49,S,+SACK:1b2a$,,
25/03/2025,21:30:49,D,2b4253500700fe2fbf006380200309020915564a5806025d61032900000100220c1001010000000000023bfcf2e861fe9c1d4e07e9031a00080907240006c4a707a6b01500000000000000020800000000000000000007e9031915080b1b2b3ca10d0a,,
25/03/2025,21:30:49,S,+SACK:1b2b$,,
25/03/2025,21:30:50,D,2b4253500700fe2fbf006380200309020915564a5806025d61032900000100220c1001010000000000023bfcf2e861fe9c1d4e07e9031a00080e07240006c4a707a6b01500000000000000020800000000000000000007e903191508101b2c60570d0a,,
25/03/2025,21:30:50,S,+SACK:1b2c$,,
25/03/2025,21:30:50,D,2b4253500700fe2fbf006380200309020915564a5806025d61032900000100220c1001010000000000023bfcf2e861fe9c1d4e07e9031a00081307240006c4a707a6b01500000000000000020800000000000000000007e903191508151b2d21530d0a,,
25/03/2025,21:30:50,S,+SACK:1b2d$,,
25/03/2025,21:30:51,D,2b4253500700fe2fbf006380200309020915564a5806025d61032900000100220c1001010000000000023bfcf2e861fe9c1d4e07e9031a00081807240006c4a707a6b01500000000000000020800000000000000000007e9031915081a1b2e54b20d0a,,
25/03/2025,21:30:51,S,+SACK:1b2e$,,
25/03/2025,21:30:51,D,2b4253500700fe2fbf006380200309020915564a5806025d61032900000100220c1001010000000000023bfcf2e861fe9c1d4e07e9031a00081d07240006c4a707a6b01500000000000000020800000000000000000007e9031915081f1b2fe9f70d0a,,
25/03/2025,21:30:51,S,+SACK:1b2f$,,
25/03/2025,21:30:52,D,2b4253500700fe2fbf006380200309020915564a5806025d61032900000100220c1001010000000000023bfcf2e861fe9c1d4e07e9031a00082207240006c4a707a6b01500000000000000020800000000000000000007e903191508241b301c620d0a,,
25/03/2025,21:30:52,S,+SACK:1b30$,,
25/03/2025,21:30:52,D,2b4253500700fe2fbf006380200309020915564a5806025d61032900000100220b1001010000000000023bfcf2e861fe9c1d4e07e9031a00082707240006c4a707a6b01500000000000000020800000000000000000007e903191508291b3173720d0a,,
25/03/2025,21:30:52,S,+SACK:1b31$,,
25/03/2025,21:30:53,D,2b4253500700fe2fbf006380200309020915564a5806025d61032900000100220c1001010000000000023bfcf2e861fe9c1d4e07e9031a00082c07240006c4a707a6b01500000000000000020800000000000000000007e9031915082e1b32d4c60d0a,,
25/03/2025,21:30:53,S,+SACK:1b32$,,
25/03/2025,21:30:53,D,2b4253500700fe2fbf006380200309020915564a5806025d61032900000100220c1001010000000000023bfcf2e861fe9c1d4e07e9031a00083007240006c4a707a6b01500000000000000020800000000000000000007e903191508331b339b9b0d0a,,
25/03/2025,21:30:53,S,+SACK:1b33$,,
25/03/2025,21:30:54,D,2b4253500700fe2fbf006380200309020915564a5806025d61032900000100220c1001010000000000023bfcf2e861fe9c1d4e07e9031a00083607240006c4a707a6b01500000000000000020800000000000000000007e903191508381b3460950d0a,,
25/03/2025,21:30:54,S,+SACK:1b34$,,
25/03/2025,21:30:54,D,2b4253500700fe2fbf006380200309020915564a5806025d61032900000100220c1001010000000000023bfcf2e861fe9c1d4e07e9031a00083b07240006c4a707a6b01500000000000000020800000000000000000007e903191509011b354f9f0d0a,,
25/03/2025,21:30:54,S,+SACK:1b35$,,
25/03/2025,21:30:55,D,2b4253500700fe2fbf006380200309020915564a5806025d61032900000100220c1001010000000000023bfcf2e861fe9c1d4e07e9031a00090407240006c4a707a6b01500000000000000020800000000000000000007e903191509061b37eff80d0a,,
25/03/2025,21:30:55,S,+SACK:1b37$,,
25/03/2025,21:30:55,D,2b4253500700fe2fbf006380200309020915564a5806025d61032a00000100220c1001010000000000023bfcf2e861fe9c1d4e07e9031a00090907240006c4a707a6b01500000000000000020800000000000000000007e9031915090b1b38eec60d0a,,
25/03/2025,21:30:55,S,+SACK:1b38$,,
25/03/2025,21:30:56,D,2b4253500700fe2fbf006380200309020915564a5806025d61032a00000100220a1001010000000000023bfcf2e861fe9c1d4e07e9031a00090e07240006c4a707a6b01500000000000000020800000000000000000007e903191509101b39bafe0d0a,,
25/03/2025,21:30:56,S,+SACK:1b39$,,
25/03/2025,21:30:56,D,2b4253500700fe2fbf006380200309020915564a5806025d61032a00000100220c1001010000000000023bfcf2e861fe9c1d4e07e9031a00091307240006c4a707a6b01500000000000000020800000000000000000007e903191509151b3ba3910d0a,,
25/03/2025,21:30:56,S,+SACK:1b3b$,,
25/03/2025,21:30:57,D,2b4253500700fe2fbf006380200309020915564a5806025d61032a00000100220a1001010000000000023bfcf2e861fe9c1d4e07e9031a00091807240006c4a707a6b01500000000000000020800000000000000000007e9031915091a1b3cfefc0d0a,,
25/03/2025,21:30:57,S,+SACK:1b3c$,,
25/03/2025,21:30:57,D,2b4253500700fe2fbf006380200309020915564a5806025d61032a00000100220a1001010000000000023bfcf2e861fe9c1d4e07e9031a00091d07240006c4a707a6b01500000000000000020800000000000000000007e9031915091f1b3d43b90d0a,,
25/03/2025,21:30:57,S,+SACK:1b3d$,,
25/03/2025,21:30:58,D,2b4253500700fe2fbf006380200309020915564a5806025d61032a00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a00092207240006c4a707a6b01500000000000000020800000000000000000007e903191509241b3e7f4e0d0a,,
25/03/2025,21:30:58,S,+SACK:1b3e$,,
25/03/2025,21:30:58,D,2b4253500700fe2fbf006380200309020915564a5806025d61032a00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a00092707240006c4a707a6b01500000000000000020800000000000000000007e903191509291b3f6baa0d0a,,
25/03/2025,21:30:58,S,+SACK:1b3f$,,
25/03/2025,21:30:59,D,2b4253500700fe2fbf006380200309020915564a5806025d61032a00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a00092c07240006c4a707a6b01500000000000000020800000000000000000007e9031915092e1b4008f10d0a,,
25/03/2025,21:30:59,S,+SACK:1b40$,,
25/03/2025,21:30:59,D,2b4253500700fe2fbf006380200309020915564a5806025d61032a00000100210b1001010000000000023bfcf2e861fe9c1d4e07e9031a00093107240006c4a707a6b01500000000000000020800000000000000000007e903191509331b41d8c30d0a,,
25/03/2025,21:30:59,S,+SACK:1b41$,,
25/03/2025,21:31:00,D,2b4253500700fe2fbf006380200309020915564a5806025d61032a00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a00093607240006c4a707a6b01500000000000000020800000000000000000007e903191509381b42fc260d0a,,
25/03/2025,21:31:00,S,+SACK:1b42$,,
25/03/2025,21:31:00,D,2b4253500700fe2fbf006380200309020915564a5806025d61032a00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a00093b07240006c4a707a6b01500000000000000020800000000000000000007e90319150a011b433e440d0a,,
25/03/2025,21:31:00,S,+SACK:1b43$,,
25/03/2025,21:31:01,D,2b4253500700fe2fbf006380200309020915564a5806025d61032a00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000a0407240006c4a707a6b01500000000000000020800000000000000000007e90319150a061b4483d20d0a,,
25/03/2025,21:31:01,S,+SACK:1b44$,,
25/03/2025,21:31:01,D,2b4253500700fe2fbf006380200309020915564a5806025d61032a00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000a0907240006c4a707a6b01500000000000000020800000000000000000007e90319150a0b1b45c3090d0a,,
25/03/2025,21:31:01,S,+SACK:1b45$,,
25/03/2025,21:31:02,D,2b4253500700fe2fbf006380200309020915564a5806025d61032b00000100210a1001010000000000023bfcf2e861fe9c1d4e07e9031a000a0e07240006c4a707a6b01500000000000000020800000000000000000007e90319150a101b46d76a0d0a,,
25/03/2025,21:31:02,S,+SACK:1b46$,,
25/03/2025,21:31:02,D,2b4253500700fe2fbf006380200309020915564a5806025d61032b00000100210c1001010000000000023bfcf2e861fe9c1d4e07e9031a000a1307240006c4a707a6b01500000000000000020800000000000000000007e90319150a151b47fe660d0a,,
25/03/2025,21:31:02,S,+SACK:1b47$,,
